model,BalAcc,BalAcc_lo,BalAcc_hi,AUC,AUC_lo,AUC_hi
"LASSO (primary, nested C)",0.885,0.698,1.0,0.969,0.845,1.0
Random Forest (robustness),0.89,0.733,1.0,0.963,0.833,1.0
